sample_id,mode,true_algorithm,predicted_algorithm,correct,predicted_score,oracle_score,regret,prediction_confidence,probability_gzip,probability_bz2,probability_lzma,probability_zstd,generator,seed,size,file_size,entropy,unique_byte_count,most_common_byte_ratio,zero_byte_ratio,adjacent_repeat_ratio,average_run_length,max_run_length,duplicate_block_ratio,bigram_diversity,segment_entropy_mean,segment_entropy_std
sample_000916,archive,gzip,zstd,False,0.39570729706502883,0.30787331207215385,0.087833984992874981,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000922,archive,zstd,gzip,False,0.6121440887111913,0.33886929353382317,0.27327479517736813,0.54000000000000004,0.54000000000000004,0,0,0.46000000000000002,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264
sample_000916,balanced,gzip,zstd,False,0.40771503181129204,0.34182605545482192,0.065888976356470119,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000841,fast_access,gzip,zstd,False,0.5742139516323832,0.48730363077730465,0.086910320855078549,1,0,0,0,1,small_alphabet,20261824,16384,16384,1.9998389180676854,4,0.25396728515625,0,0.24507111029725936,1.3246018271485165,7,0,0.00097662210828297624,1.9995047671874295,0.0001549683030377176
sample_000916,fast_access,gzip,zstd,False,0.55104307716064016,0.24776642466404236,0.3032766524965978,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000922,fast_access,zstd,gzip,False,0.69673822155272291,0.14522969722878135,0.5515085243239416,0.54000000000000004,0.54000000000000004,0,0,0.46000000000000002,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264
