mode,strategy,test_count,accuracy,macro_f1,mean_compression_ratio,mean_compression_time_ms,mean_decompression_time_ms,mean_score,mean_regret
archive,gzip,202,0.0049504950495049506,0.0024630541871921183,0.34267340084113695,74.39914851485149,0.73062821782178211,0.80263820045895473,0.71106238262227939
archive,bz2,202,0,0,0.32955441616549352,50.229024257425742,12.699931188118812,1.2513533584661845,1.1597775406295092
archive,lzma,202,0,0,0.32503858887323056,140.56668316831684,4.5926475247524747,1.2502513616712998,1.1586755438346243
archive,zstd,202,0.99504950495049505,0.24937965260545905,0.34529452276701972,1.723280693069307,0.5916945544554455,0.092010639544560888,0.00043482170788551968
archive,baseline,202,0.99504950495049505,0.24937965260545905,0.34529452276701972,1.723280693069307,0.5916945544554455,0.092010639544560888,0.00043482170788551968
archive,oracle,202,1,0.5,0.34520176141568931,1.723948514851485,0.59158019801980199,0.091575817836675386,0
archive,random_forest,202,0.99009900990099009,0.24875621890547264,0.3451639921358316,1.730819306930693,0.59179306930693065,0.093363485065240934,0.0017876672285655599
balanced,gzip,202,0.0049504950495049506,0.0024630541871921183,0.34267340084113695,74.39914851485149,0.73062821782178211,1.0224610252300201,0.94946371476862823
balanced,bz2,202,0,0,0.32955441616549352,50.229024257425742,12.699931188118812,1.9246829138912345,1.8516856034298426
balanced,lzma,202,0,0,0.32503858887323056,140.56668316831684,4.5926475247524747,1.9247458364912824,1.8517485260298905
balanced,zstd,202,0.99504950495049505,0.24937965260545905,0.34529452276701972,1.723280693069307,0.5916945544554455,0.073323493512661611,0.00032618305126965407
balanced,baseline,202,0.99504950495049505,0.24937965260545905,0.34529452276701972,1.723280693069307,0.5916945544554455,0.073323493512661611,0.00032618305126965407
balanced,oracle,202,1,0.5,0.34520176141568931,1.723948514851485,0.59158019801980199,0.072997310461391948,0
balanced,random_forest,202,0.99504950495049505,0.24937965260545905,0.34529452276701972,1.723280693069307,0.5916945544554455,0.073323493512661611,0.00032618305126965407
fast_access,gzip,202,0.0099009900990099011,0.0049019607843137254,0.34267340084113695,74.39914851485149,0.73062821782178211,0.96678892076506151,0.90610250343438403
fast_access,bz2,202,0,0,0.32955441616549352,50.229024257425742,12.699931188118812,2.5851474051635761,2.524460987832899
fast_access,lzma,202,0,0,0.32503858887323056,140.56668316831684,4.5926475247524747,2.2883635314409712,2.2276771141102936
fast_access,zstd,202,0.99009900990099009,0.24875621890547264,0.34529452276701972,1.723280693069307,0.5916945544554455,0.062618036010636299,0.0019316186799587939
fast_access,baseline,202,0.99009900990099009,0.24875621890547264,0.34529452276701972,1.723280693069307,0.5916945544554455,0.062618036010636299,0.0019316186799587939
fast_access,oracle,202,1,0.5,0.34508029541166702,1.7348148514851485,0.59126930693069313,0.060686417330677506,0
fast_access,random_forest,202,0.98514851485148514,0.24812967581047382,0.3451639921358316,1.730819306930693,0.59179306930693065,0.065348276230061744,0.0046618588993842473
