mode,feature,importance
archive,file_size,0.025208002506703811
archive,entropy,0.13881419933702857
archive,unique_byte_count,0.01267405802054811
archive,most_common_byte_ratio,0.11433076844947078
archive,zero_byte_ratio,0.000521495362879467
archive,adjacent_repeat_ratio,0.16512812150337886
archive,average_run_length,0.17782734660619592
archive,max_run_length,0.01457135908600656
archive,duplicate_block_ratio,0.11722957044614964
archive,bigram_diversity,0.017375591527016922
archive,segment_entropy_mean,0.1246185754934634
archive,segment_entropy_std,0.091700911661157916
balanced,file_size,0.020938687112517701
balanced,entropy,0.14550987698284615
balanced,unique_byte_count,0.012798122499805073
balanced,most_common_byte_ratio,0.092813891160810361
balanced,zero_byte_ratio,0.00022272947136322673
balanced,adjacent_repeat_ratio,0.130774017470106
balanced,average_run_length,0.22789851237916348
balanced,max_run_length,0.012334212089660027
balanced,duplicate_block_ratio,0.12956776337279224
balanced,bigram_diversity,0.0095601845217550881
balanced,segment_entropy_mean,0.097284867098917968
balanced,segment_entropy_std,0.12029713584026251
fast_access,file_size,0.025609929935243643
fast_access,entropy,0.13946079311617632
fast_access,unique_byte_count,0.022514109697327631
fast_access,most_common_byte_ratio,0.11793328058142062
fast_access,zero_byte_ratio,0.013971058716459062
fast_access,adjacent_repeat_ratio,0.11871879225059753
fast_access,average_run_length,0.15379703010778895
fast_access,max_run_length,0.026100138746034403
fast_access,duplicate_block_ratio,0.10109190254471546
fast_access,bigram_diversity,0.03753211523460221
fast_access,segment_entropy_mean,0.12120632385151188
fast_access,segment_entropy_std,0.12206452521812233
