algorithm,metric,count,mean,population_std,min,median,max
gzip,compression_ratio,1008,0.33359237606563263,0.33923036568414811,0.001007080078125,0.28684806823730463,1.00140380859375
gzip,compression_time_ms,1008,53.284298015873013,207.94023347839968,0.024400000000000002,3.78925,2790.3528000000001
gzip,decompression_time_ms,1008,0.61277291666666667,1.0545613966555463,0.0041000000000000003,0.15684999999999999,8.8119999999999994
bz2,compression_ratio,1008,0.32056828718336799,0.34302313266213552,8.58306884765625e-05,0.2735600471496582,1.029541015625
bz2,compression_time_ms,1008,48.11958373015873,87.200646800184842,0.1032,10.1526,703.20360000000005
bz2,decompression_time_ms,1008,12.012047817460319,22.903627068718865,0.048000000000000001,2.6305500000000004,181.1669
lzma,compression_ratio,1008,0.31591182663327172,0.34119879754691096,0.000274658203125,0.27449607849121094,1.003662109375
lzma,compression_time_ms,1008,118.04532083333332,227.61249929627579,4.2295999999999996,22.564050000000002,2044.6824999999999
lzma,decompression_time_ms,1008,3.8336047619047622,7.1745995170487982,0.0344,1.1278999999999999,69.1173
zstd,compression_ratio,1008,0.33699715421313331,0.33852106738087562,0.0001029968261718,0.29935264587402344,1.0006103515625
zstd,compression_time_ms,1008,1.4145507936507937,2.9281493811573864,0.0073000000000000001,0.33174999999999999,28.068100000000001
zstd,decompression_time_ms,1008,0.45947192460317465,0.88447386506981318,0.001,0.085150000000000003,7.9974999999999996
