algorithm,feature,metric,count,pearson,spearman
gzip,file_size,compression_ratio,1008,-0.018365580955120083,-0.10996678570319977
gzip,file_size,compression_time_ms,1008,0.30725284981208495,0.74750769776153614
gzip,file_size,decompression_time_ms,1008,0.71942131326166125,0.86333664844856084
gzip,entropy,compression_ratio,1008,0.38635877411322206,0.31180221164959998
gzip,entropy,compression_time_ms,1008,-0.29556779963388496,-0.063613864609562754
gzip,entropy,decompression_time_ms,1008,-0.1347928568035836,-0.090090566540450459
gzip,unique_byte_count,compression_ratio,1008,0.45302519721709772,0.34837174775844726
gzip,unique_byte_count,compression_time_ms,1008,-0.16060348321771298,-0.026824152915709908
gzip,unique_byte_count,decompression_time_ms,1008,-0.11249578203118205,-0.050027411125765808
gzip,most_common_byte_ratio,compression_ratio,1008,-0.27387256815199784,-0.24400900409909518
gzip,most_common_byte_ratio,compression_time_ms,1008,0.41295673858370985,0.14726477486846473
gzip,most_common_byte_ratio,decompression_time_ms,1008,0.077635454665253775,0.1299892781130898
gzip,zero_byte_ratio,compression_ratio,1008,0.092422321812821062,0.26399383457783504
gzip,zero_byte_ratio,compression_time_ms,1008,-0.08401848120640161,-0.0094261212503162928
gzip,zero_byte_ratio,decompression_time_ms,1008,-0.052758248455092194,-0.071914956606335581
gzip,adjacent_repeat_ratio,compression_ratio,1008,-0.4162265425397832,-0.098557597875004732
gzip,adjacent_repeat_ratio,compression_time_ms,1008,0.058012107441389071,0.34026575028062594
gzip,adjacent_repeat_ratio,decompression_time_ms,1008,-0.083360947539095856,0.14593282465761237
gzip,average_run_length,compression_ratio,1008,-0.24971377632083727,-0.098668949206269965
gzip,average_run_length,compression_time_ms,1008,-0.058915978493409946,0.34141736826734026
gzip,average_run_length,decompression_time_ms,1008,-0.074349689900282442,0.14713507162447256
gzip,max_run_length,compression_ratio,1008,-0.16389525776423605,0.01351895948896854
gzip,max_run_length,compression_time_ms,1008,-0.031896627503619122,0.37738077849105411
gzip,max_run_length,decompression_time_ms,1008,-0.030358840320963192,0.22219714106566762
gzip,duplicate_block_ratio,compression_ratio,1008,-0.74288610904560526,-0.88798415282177867
gzip,duplicate_block_ratio,compression_time_ms,1008,-0.12106102450781189,-0.32634254027451959
gzip,duplicate_block_ratio,decompression_time_ms,1008,-0.17013869505448934,-0.072227256855595737
gzip,bigram_diversity,compression_ratio,1008,0.76929562215864411,0.59819620456722589
gzip,bigram_diversity,compression_time_ms,1008,-0.051031862162719356,0.050668701151547736
gzip,bigram_diversity,decompression_time_ms,1008,0.05054588018970449,-0.035680685405989586
gzip,segment_entropy_mean,compression_ratio,1008,0.60941462519274125,0.36286077399460587
gzip,segment_entropy_mean,compression_time_ms,1008,-0.28206764475133816,-0.20278108522622304
gzip,segment_entropy_mean,decompression_time_ms,1008,-0.12877179928717561,-0.17440242325741714
gzip,segment_entropy_std,compression_ratio,1008,-0.007109103672577049,0.17875137756373283
gzip,segment_entropy_std,compression_time_ms,1008,0.0025138449877011989,0.21324476062695177
gzip,segment_entropy_std,decompression_time_ms,1008,0.033184360908703782,0.14671515600634888
bz2,file_size,compression_ratio,1008,-0.021874820472885945,-0.12598157321582373
bz2,file_size,compression_time_ms,1008,0.68835171271567808,0.84175709817372746
bz2,file_size,decompression_time_ms,1008,0.6583402450777619,0.86229942415566263
bz2,entropy,compression_ratio,1008,0.41631992010403596,0.34615809075655507
bz2,entropy,compression_time_ms,1008,0.023915523058551821,0.040718245379002004
bz2,entropy,decompression_time_ms,1008,0.044470076144830117,0.13705371606395866
bz2,unique_byte_count,compression_ratio,1008,0.48541286005570355,0.38663020879336363
bz2,unique_byte_count,compression_time_ms,1008,0.015793973635580109,0.054950848805565278
bz2,unique_byte_count,decompression_time_ms,1008,0.06972595269395622,0.11980711016278096
bz2,most_common_byte_ratio,compression_ratio,1008,-0.28894614960292037,-0.27394641627094396
bz2,most_common_byte_ratio,compression_time_ms,1008,-0.042786512440905089,-0.016561130687086503
bz2,most_common_byte_ratio,decompression_time_ms,1008,-0.013428479950033188,-0.095433285930474565
bz2,zero_byte_ratio,compression_ratio,1008,0.10708539645446301,0.30629184748477284
bz2,zero_byte_ratio,compression_time_ms,1008,0.075373911474016717,0.014697146653374132
bz2,zero_byte_ratio,decompression_time_ms,1008,0.00034748995201570854,0.09851317632916641
bz2,adjacent_repeat_ratio,compression_ratio,1008,-0.39356765879233768,-0.058989582513235488
bz2,adjacent_repeat_ratio,compression_time_ms,1008,-0.21593568718964454,-0.29804303639264568
bz2,adjacent_repeat_ratio,decompression_time_ms,1008,-0.18729939789919317,-0.10512329203245101
bz2,average_run_length,compression_ratio,1008,-0.23436173402118615,-0.05910133804380293
bz2,average_run_length,compression_time_ms,1008,-0.1343812957192701,-0.29718873582638877
bz2,average_run_length,decompression_time_ms,1008,-0.11906923692262068,-0.10403828220761993
bz2,max_run_length,compression_ratio,1008,-0.15297206351918938,0.056176165372955583
bz2,max_run_length,compression_time_ms,1008,0.0033054427644100253,-0.17161365670439732
bz2,max_run_length,decompression_time_ms,1008,-0.077837227330112446,-0.0008967070935803086
bz2,duplicate_block_ratio,compression_ratio,1008,-0.71217807055581339,-0.87611805561914979
bz2,duplicate_block_ratio,compression_time_ms,1008,0.09916896099809816,0.042170547549091678
bz2,duplicate_block_ratio,decompression_time_ms,1008,-0.2779242852891402,-0.26750774448232761
bz2,bigram_diversity,compression_ratio,1008,0.78997020740392954,0.62842257707656424
bz2,bigram_diversity,compression_time_ms,1008,0.24599533850302777,0.026104604801170113
bz2,bigram_diversity,decompression_time_ms,1008,0.35639039203972311,0.1722009722875541
bz2,segment_entropy_mean,compression_ratio,1008,0.62968830406118859,0.38211059254632046
bz2,segment_entropy_mean,compression_time_ms,1008,0.059342509540386008,0.092586052681848344
bz2,segment_entropy_mean,decompression_time_ms,1008,0.1343085022798981,0.102130948256277
bz2,segment_entropy_std,compression_ratio,1008,-0.0025916130757989049,0.2128254255386251
bz2,segment_entropy_std,compression_time_ms,1008,0.18018375908190506,-0.098088423228666746
bz2,segment_entropy_std,decompression_time_ms,1008,-0.0091533225753450409,0.028664169552705031
lzma,file_size,compression_ratio,1008,-0.018859448738502434,-0.13145965819751543
lzma,file_size,compression_time_ms,1008,0.62916630246013905,0.77022115994438656
lzma,file_size,decompression_time_ms,1008,0.58827836175729931,0.80511551878688736
lzma,entropy,compression_ratio,1008,0.39963601871635168,0.31597562080887009
lzma,entropy,compression_time_ms,1008,-0.16478385453236799,0.089206989700710781
lzma,entropy,decompression_time_ms,1008,-0.15160601431694065,-0.15204413101897504
lzma,unique_byte_count,compression_ratio,1008,0.46088884561026983,0.3558970520582711
lzma,unique_byte_count,compression_time_ms,1008,-0.1194237468051088,0.093973914150458901
lzma,unique_byte_count,decompression_time_ms,1008,-0.10201600082471801,-0.050751723831563657
