model,mode,test_count,error_count,accuracy,macro_f1,mean_regret,max_regret,recovered_from_baseline,harmed_vs_baseline
baseline,archive,202,1,0.99504950495049505,0.24937965260545905,0.00043482170788551968,0.087833984992874981,0,0
baseline,balanced,202,1,0.99504950495049505,0.24937965260545905,0.00032618305126965407,0.065888976356470119,0,0
baseline,fast_access,202,2,0.99009900990099009,0.24875621890547264,0.0019316186799587939,0.3032766524965978,0,0
decision_tree,archive,202,4,0.98019801980198018,0.2475,0.0029986917289418599,0.27327479517736813,0,3
decision_tree,balanced,202,1,0.99504950495049505,0.24937965260545905,0.00032618305126965407,0.065888976356470119,0,0
decision_tree,fast_access,202,6,0.97029702970297027,0.24623115577889448,0.0090813898678355903,0.5515085243239416,0,4
random_forest,archive,202,2,0.99009900990099009,0.24875621890547264,0.0017876672285655599,0.27327479517736813,0,1
random_forest,balanced,202,1,0.99504950495049505,0.24937965260545905,0.00032618305126965407,0.065888976356470119,0,0
random_forest,fast_access,202,3,0.98514851485148514,0.24812967581047382,0.0046618588993842473,0.5515085243239416,0,1
