sample_id,feature,value,train_count,train_min,train_max,train_fraction_le_value,outside_train_range
sample_000256,file_size,262144,806,16384,1048576,0.76054590570719605,False
sample_000256,entropy,4.5664638062694491,806,0.99987922181299571,7.9998532047907336,0.35483870967741937,False
sample_000256,unique_byte_count,31,806,2,256,0.40446650124069478,False
sample_000256,most_common_byte_ratio,0.1614532470703125,806,0.0040407180786132812,0.5064697265625,0.78411910669975182,False
sample_000256,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000256,adjacent_repeat_ratio,0.012584734286248345,806,0,0.99938961118232317,0.34119106699751861,False
sample_000256,average_run_length,1.0127450791013928,806,1,1489.4545454545455,0.34119106699751861,False
sample_000256,max_run_length,4,806,1,2048,0.46277915632754341,False
sample_000256,duplicate_block_ratio,0.41778564453125,806,0,0.9999847412109375,0.63151364764267992,False
sample_000256,bigram_diversity,0.00250244140625,806,6.103515625e-05,1,0.36724565756823824,False
sample_000256,segment_entropy_mean,4.549371070373585,806,0.99965740922069557,7.9584824388237614,0.48635235732009924,False
sample_000256,segment_entropy_std,0.01129277548588988,806,0,2.6882718577573312,0.57444168734491319,False
sample_000286,file_size,1048576,806,16384,1048576,1,False
sample_000286,entropy,4.789321118137325,806,0.99987922181299571,7.9998532047907336,0.41066997518610421,False
sample_000286,unique_byte_count,35,806,2,256,0.45285359801488834,False
sample_000286,most_common_byte_ratio,0.087702751159667969,806,0.0040407180786132812,0.5064697265625,0.5856079404466501,False
sample_000286,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000286,adjacent_repeat_ratio,0.016484276279712943,806,0,0.99938961118232317,0.38709677419354838,False
sample_000286,average_run_length,1.0167605457625442,806,1,1489.4545454545455,0.38709677419354838,False
sample_000286,max_run_length,4,806,1,2048,0.46277915632754341,False
sample_000286,duplicate_block_ratio,0.6229095458984375,806,0,0.9999847412109375,0.70347394540942931,False
sample_000286,bigram_diversity,0.00262451171875,806,6.103515625e-05,1,0.41066997518610421,False
sample_000286,segment_entropy_mean,4.7873649018849163,806,0.99965740922069557,7.9584824388237614,0.55955334987593053,False
sample_000286,segment_entropy_std,0.0078728104036838008,806,0,2.6882718577573312,0.52233250620347393,False
sample_000604,file_size,16384,806,16384,1048576,0.25310173697270472,False
sample_000604,entropy,4.7879482046737358,806,0.99987922181299571,7.9998532047907336,0.39081885856079407,False
sample_000604,unique_byte_count,35,806,2,256,0.45285359801488834,False
sample_000604,most_common_byte_ratio,0.087646484375,806,0.0040407180786132812,0.5064697265625,0.57692307692307687,False
sample_000604,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000604,adjacent_repeat_ratio,0.017823353476164316,806,0,0.99938961118232317,0.42555831265508687,False
sample_000604,average_run_length,1.0181456624409644,806,1,1489.4545454545455,0.42555831265508687,False
sample_000604,max_run_length,4,806,1,2048,0.46277915632754341,False
sample_000604,duplicate_block_ratio,0.1357421875,806,0,0.9999847412109375,0.3957816377171216,False
sample_000604,bigram_diversity,0.010498687664041995,806,6.103515625e-05,1,0.54218362282878407,False
sample_000604,segment_entropy_mean,4.7864345254209546,806,0.99965740922069557,7.9584824388237614,0.54466501240694787,False
sample_000604,segment_entropy_std,0.007091727576751708,806,0,2.6882718577573312,0.50744416873449127,False
sample_000664,file_size,262144,806,16384,1048576,0.76054590570719605,False
sample_000664,entropy,4.5661931519567043,806,0.99987922181299571,7.9998532047907336,0.35359801488833748,False
sample_000664,unique_byte_count,31,806,2,256,0.40446650124069478,False
sample_000664,most_common_byte_ratio,0.16142654418945312,806,0.0040407180786132812,0.5064697265625,0.77667493796526055,False
sample_000664,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000664,adjacent_repeat_ratio,0.012531328320802004,806,0,0.99938961118232317,0.33870967741935482,False
sample_000664,average_run_length,1.0126903063057495,806,1,1489.4545454545455,0.33870967741935482,False
sample_000664,max_run_length,4,806,1,2048,0.46277915632754341,False
sample_000664,duplicate_block_ratio,0.41363525390625,806,0,0.9999847412109375,0.61910669975186106,False
sample_000664,bigram_diversity,0.00250244140625,806,6.103515625e-05,1,0.36724565756823824,False
sample_000664,segment_entropy_mean,4.5484966238298892,806,0.99965740922069557,7.9584824388237614,0.47766749379652607,False
sample_000664,segment_entropy_std,0.010653480643473896,806,0,2.6882718577573312,0.56079404466501237,False
sample_000841,file_size,16384,806,16384,1048576,0.25310173697270472,False
sample_000841,entropy,1.9998389180676854,806,0.99987922181299571,7.9998532047907336,0.043424317617866005,False
sample_000841,unique_byte_count,4,806,2,256,0.11662531017369727,False
sample_000841,most_common_byte_ratio,0.25396728515625,806,0.0040407180786132812,0.5064697265625,0.94789081885856075,False
sample_000841,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000841,adjacent_repeat_ratio,0.24507111029725936,806,0,0.99938961118232317,0.66253101736972708,False
sample_000841,average_run_length,1.3246018271485165,806,1,1489.4545454545455,0.66253101736972708,False
sample_000841,max_run_length,7,806,1,2048,0.57444168734491319,False
sample_000841,duplicate_block_ratio,0,806,0,0.9999847412109375,0.34863523573200994,False
sample_000841,bigram_diversity,0.00097662210828297624,806,6.103515625e-05,1,0.24689826302729528,False
sample_000841,segment_entropy_mean,1.9995047671874295,806,0.99965740922069557,7.9584824388237614,0.10421836228287841,False
sample_000841,segment_entropy_std,0.0001549683030377176,806,0,2.6882718577573312,0.17617866004962779,False
sample_000916,file_size,16384,806,16384,1048576,0.25310173697270472,False
sample_000916,entropy,4.5350746356763398,806,0.99987922181299571,7.9998532047907336,0.32878411910669975,False
sample_000916,unique_byte_count,31,806,2,256,0.40446650124069478,False
sample_000916,most_common_byte_ratio,0.1650390625,806,0.0040407180786132812,0.5064697265625,0.80769230769230771,False
sample_000916,zero_byte_ratio,0,806,0,0.0625,0.51488833746898266,False
sample_000916,adjacent_repeat_ratio,0.011109076481718855,806,0,0.99938961118232317,0.32133995037220842,False
