sample_id,mode,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified,score,size_score,compression_score,decompression_score
sample_000256,fast_access,gzip,262144,35008,0.133544921875,19.528600000000001,0.57630000000000003,True,0.4519241403197376,0.094340919926997988,0.3575832203927396,0
sample_000256,fast_access,bz2,262144,25562,0.09751129150390625,53.956200000000003,11.549899999999999,True,2.0597435798419794,0,0.56084173011138938,1.4989018497305899
sample_000256,fast_access,lzma,262144,26328,0.100433349609375,235.59030000000001,4.3941999999999997,True,1.8801901111563133,0.00885784137945482,0.85562606473703406,1.0157062050398245
sample_000256,fast_access,zstd,262144,43159,0.16463851928710938,3.2673000000000001,0.80640000000000001,True,0.32511099848039449,0.15713522904315272,0,0.16797576943724174
sample_000286,archive,gzip,1048576,137131,0.13077831268310547,72.923699999999997,3.1751999999999998,True,0.67168899541112825,0.36976084337745962,0.30192815203366868,0
sample_000286,archive,bz2,1048576,80859,0.077113151550292969,291.2765,53.686999999999998,True,0.93382708646327961,0,0.5096570468543461,0.42417003960893351
sample_000286,archive,lzma,1048576,102792,0.09803009033203125,1107.3932,19.005099999999999,True,1.1463816618401754,0.16800044232943653,0.70998070825365855,0.2684005112570802
sample_000286,archive,zstd,1048576,168966,0.16113853454589844,9.7431000000000001,3.9950000000000001,True,0.55034437342805242,0.51589342991832443,0,0.034450943509727938
sample_000604,fast_access,gzip,16384,2506,0.1529541015625,0.26869999999999999,0.022599999999999999,True,0.62444895183737903,0.10875195929612659,0.36741148260673895,0.1482855099345135
sample_000604,fast_access,bz2,16384,1744,0.1064453125,1.012,0.1774,True,1.811143241185065,0,0.63262914945193205,1.1785140917331329
sample_000604,fast_access,lzma,16384,2280,0.13916015625,7.8193000000000001,0.13250000000000001,True,2.1545625573280978,0.080398235243868452,1.0415624425756973,1.0326018795085319
sample_000604,fast_access,zstd,16384,2764,0.168701171875,0.042799999999999998,0.016799999999999999,True,0.13814927412559069,0.13814927412559069,0,0
sample_000664,archive,gzip,262144,34966,0.13338470458984375,5.8949999999999996,0.23269999999999999,True,0.49609634423767496,0.21865894296288135,0.2774374012747936,0
sample_000664,archive,bz2,262144,25585,0.097599029541015625,20.294,3.5234999999999999,True,0.87048951592375179,0,0.46287051255492717,0.40761900336882467
sample_000664,archive,lzma,262144,26428,0.1008148193359375,82.709199999999996,2.0748000000000002,True,1.024494311535332,0.02269246833740882,0.6736213473725734,0.32818049582534986
sample_000664,archive,zstd,262144,43064,0.164276123046875,0.92730000000000001,0.246,True,0.37281401714473822,0.3644767973011207,0,0.0083372198436175316
sample_000664,fast_access,gzip,262144,34966,0.13338470458984375,5.8949999999999996,0.23269999999999999,True,0.46362751058857882,0.09371097555552059,0.36991653503305821,0
sample_000664,fast_access,bz2,262144,25585,0.097599029541015625,20.294,3.5234999999999999,True,1.9758906946359853,0,0.61716068340656971,1.3587300112294156
sample_000664,fast_access,lzma,262144,26428,0.1008148193359375,82.709199999999996,2.0748000000000002,True,2.0018221261544396,0.0097253435731752078,0.89816179649676453,1.0939349860844996
sample_000664,fast_access,zstd,262144,43064,0.164276123046875,0.92730000000000001,0.246,True,0.18399507451253874,0.15620434170048031,0,0.02779073281205844
sample_000841,fast_access,gzip,16384,5157,0.31475830078125,2.4504999999999999,0.034700000000000002,True,0.48730363077730465,0.035138639836136076,0.45216499094116858,0
sample_000841,fast_access,bz2,16384,4587,0.27996826171875,1.6135999999999999,0.47110000000000002,True,1.6727654647758397,0,0.36860011539924858,1.304165349376591
sample_000841,fast_access,lzma,16384,4908,0.299560546875,10.3248,0.33950000000000002,True,1.9004755509006208,0.020292093370088998,0.73981632750756332,1.1403671300229685
sample_000841,fast_access,zstd,16384,5559,0.33929443359375,0.2555,0.097500000000000003,True,0.5742139516323832,0.057657606106889261,0,0.5165563455254939
sample_000916,archive,gzip,16384,2392,0.14599609375,0.23499999999999999,0.016500000000000001,True,0.30787331207215385,0.17986093789870625,0.1280123741734476,0
sample_000916,archive,bz2,16384,1850,0.1129150390625,1.1020000000000001,0.2354,True,0.75849571759669887,0,0.35980684550875269,0.39868887208794623
sample_000916,archive,lzma,16384,2132,0.130126953125,8.3597999999999999,0.3483,True,1.2205209909231323,0.099312407049355247,0.66375301440396384,0.45745556946981308
sample_000916,archive,zstd,16384,2699,0.16473388671875,0.10009999999999999,0.039600000000000003,True,0.39570729706502883,0.26438698646194386,0,0.13132031060308497
sample_000916,balanced,gzip,16384,2392,0.14599609375,0.23499999999999999,0.016500000000000001,True,0.34182605545482192,0.1284720984990759,0.21335395695574599,0
sample_000916,balanced,bz2,16384,1850,0.1129150390625,1.1020000000000001,0.2354,True,1.2641595293278316,0,0.59967807584792121,0.66448145347991039
sample_000916,balanced,lzma,16384,2132,0.130126953125,8.3597999999999999,0.3483,True,1.939618406729644,0.070937433606682324,1.1062550240066065,0.76242594911635519
sample_000916,balanced,zstd,16384,2699,0.16473388671875,0.10009999999999999,0.039600000000000003,True,0.40771503181129204,0.18884784747281708,0,0.21886718433847496
sample_000916,fast_access,gzip,16384,2392,0.14599609375,0.23499999999999999,0.016500000000000001,True,0.24776642466404236,0.077083259099445536,0.17068316556459681,0
sample_000916,fast_access,bz2,16384,1850,0.1129150390625,1.1020000000000001,0.2354,True,1.8087053676381577,0,0.47974246067833698,1.3289629069598208
sample_000916,fast_access,lzma,16384,2132,0.130126953125,8.3597999999999999,0.3483,True,2.452418377602005,0.042562460164009393,0.88500401920528526,1.5248518982327104
sample_000916,fast_access,zstd,16384,2699,0.16473388671875,0.10009999999999999,0.039600000000000003,True,0.55104307716064016,0.11330870848369023,0,0.43773436867694993
sample_000922,archive,gzip,65536,9089,0.1386871337890625,1.6785000000000001,0.087999999999999995,True,0.6121440887111913,0.21703143787575974,0.35665871063702054,0.038453940198410974
sample_000922,archive,bz2,65536,6666,0.101715087890625,4.8404999999999996,0.76819999999999999,True,0.87898726861147669,0,0.51552633319802599,0.3634609354134507
sample_000922,archive,lzma,65536,7364,0.11236572265625,21.8415,0.55920000000000003,True,1.1270831996011859,0.069708298439698446,0.74154540449686734,0.31582949666462007
sample_000922,archive,zstd,65536,10817,0.1650543212890625,0.15570000000000001,0.068099999999999994,True,0.33886929353382317,0.33886929353382317,0,0
sample_000922,fast_access,gzip,65536,9089,0.1386871337890625,1.6785000000000001,0.087999999999999995,True,0.69673822155272291,0.093013473375325603,0.47554494751602744,0.12817980066136991
sample_000922,fast_access,bz2,65536,6666,0.101715087890625,4.8404999999999996,0.76819999999999999,True,1.8989048956422037,0,0.68736844426403465,1.211536451378169
sample_000922,fast_access,lzma,65536,7364,0.11236572265625,21.8415,0.55920000000000003,True,2.0713671799234752,0.029874985045585049,0.9887272059958232,1.0527649888820669
sample_000922,fast_access,zstd,65536,10817,0.1650543212890625,0.15570000000000001,0.068099999999999994,True,0.14522969722878135,0.14522969722878135,0,0
