sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000019,gzip,1048576,300724,0.2867927551269531,1016.3261,3.3192,True
sample_000019,bz2,1048576,286837,0.27354907989501953,111.3843,59.5553,True
sample_000019,lzma,1048576,287476,0.2741584777832031,873.7691,19.4263,True
sample_000019,zstd,1048576,324513,0.3094797134399414,8.4445,2.7859,True
sample_000020,gzip,1048576,1056,0.001007080078125,2.6813,0.9318,True
sample_000020,bz2,1048576,90,8.58306884765625e-05,209.0349,6.8771,True
sample_000020,lzma,1048576,288,0.000274658203125,19.9571,2.9829,True
sample_000020,zstd,1048576,108,0.000102996826171875,0.6282,0.63,True
sample_000021,gzip,1048576,33689,0.032128334045410156,44.8857,0.7527,True
sample_000021,bz2,1048576,29472,0.028106689453125,10.3178,5.0462,True
sample_000021,lzma,1048576,25224,0.02405548095703125,170.5628,4.9981,True
sample_000021,zstd,1048576,27045,0.02579212188720703,1.5584,0.5944,True
sample_000022,gzip,1048576,396027,0.37768077850341797,135.5557,4.3173,True
sample_000022,bz2,1048576,342674,0.3267993927001953,96.8441,50.0511,True
sample_000022,lzma,1048576,295720,0.28202056884765625,678.0229,26.0374,True
sample_000022,zstd,1048576,437473,0.4172067642211914,8.9705,3.4445,True
sample_000023,gzip,1048576,419769,0.40032291412353516,58.6473,3.0787,True
sample_000023,bz2,1048576,404172,0.3854484558105469,244.9019,36.6343,True
sample_000023,lzma,1048576,386324,0.3684272766113281,229.961,20.0081,True
sample_000023,zstd,1048576,407713,0.3888254165649414,6.7148,1.5481,True
sample_000024,gzip,16384,16407,1.00140380859375,0.2866,0.0131,True
sample_000024,bz2,16384,16857,1.02886962890625,4.0525,0.5946,True
sample_000024,lzma,16384,16444,1.003662109375,10.2962,0.1103,True
sample_000024,zstd,16384,16394,1.0006103515625,0.0418,0.0031,True
sample_000025,gzip,16384,7563,0.46160888671875,1.2213,0.0808,True
sample_000025,bz2,16384,6447,0.39349365234375,1.545,0.7209,True
sample_000025,lzma,16384,7260,0.443115234375,9.6867,0.535,True
sample_000025,zstd,16384,7380,0.450439453125,0.2814,0.0299,True
sample_000026,gzip,16384,272,0.0166015625,0.0258,0.0069,True
sample_000026,bz2,16384,381,0.02325439453125,3.592,0.2969,True
sample_000026,lzma,16384,256,0.015625,5.4998,0.0818,True
sample_000026,zstd,16384,148,0.009033203125,0.0179,0.0034,True
sample_000027,gzip,16384,200,0.01220703125,0.2199,0.0156,True
sample_000027,bz2,16384,348,0.021240234375,0.2567,0.0975,True
sample_000027,lzma,16384,232,0.01416015625,5.9931,0.0998,True
sample_000027,zstd,16384,179,0.01092529296875,0.02,0.009,True
sample_000028,gzip,16384,7155,0.43670654296875,0.9893,0.0605,True
sample_000028,bz2,16384,6055,0.36956787109375,2.1837,0.4515,True
sample_000028,lzma,16384,5912,0.36083984375,10.8118,0.6081,True
sample_000028,zstd,16384,7365,0.44952392578125,0.2431,0.0531,True
sample_000029,gzip,16384,4963,0.30291748046875,0.6659,0.0387,True
sample_000029,bz2,16384,5144,0.31396484375,4.9772,0.5455,True
sample_000029,lzma,16384,4620,0.281982421875,9.1579,0.4457,True
sample_000029,zstd,16384,4876,0.297607421875,0.0774,0.018,True
sample_000030,gzip,65536,65574,1.000579833984375,1.8472,0.0271,True
sample_000030,bz2,65536,66187,1.0099334716796875,10.2969,4.2301,True
sample_000030,lzma,65536,65600,1.0009765625,25.4558,0.12,True
sample_000030,zstd,65536,65546,1.000152587890625,0.1517,0.0019,True
sample_000031,gzip,65536,19774,0.301727294921875,48.9535,0.1557,True
sample_000031,bz2,65536,18026,0.275054931640625,5.7831,1.9986,True
sample_000031,lzma,65536,18600,0.2838134765625,29.4567,1.3428,True
sample_000031,zstd,65536,21478,0.327728271484375,0.5683,0.0764,True
sample_000032,gzip,65536,143,0.0021820068359375,0.1698,0.0274,True
sample_000032,bz2,65536,70,0.001068115234375,11.0232,0.6116,True
sample_000032,lzma,65536,152,0.0023193359375,6.3681,0.2345,True
sample_000032,zstd,65536,26,0.000396728515625,0.1701,0.0325,True
sample_000033,gzip,65536,2145,0.0327301025390625,2.5166,0.0554,True
sample_000033,bz2,65536,2761,0.0421295166015625,1.6604,0.4709,True
sample_000033,lzma,65536,1660,0.02532958984375,16.8965,0.4033,True
sample_000033,zstd,65536,1539,0.0234832763671875,0.2045,0.0842,True
sample_000034,gzip,65536,27131,0.4139862060546875,6.7572,0.2913,True
sample_000034,bz2,65536,22883,0.3491668701171875,6.4059,2.6968,True
sample_000034,lzma,65536,20972,0.32000732421875,26.5933,2.0663,True
sample_000034,zstd,65536,27341,0.4171905517578125,1.0353,0.1778,True
sample_000035,gzip,65536,27228,0.41546630859375,3.7647,0.1716,True
sample_000035,bz2,65536,25659,0.3915252685546875,14.3084,2.3732,True
sample_000035,lzma,65536,23320,0.3558349609375,22.5313,1.2404,True
sample_000035,zstd,65536,27687,0.4224700927734375,0.6034,0.1491,True
sample_000036,gzip,262144,262242,1.0003738403320312,7.871,0.4153,True
sample_000036,bz2,262144,263738,1.0060806274414062,35.9416,15.7362,True
sample_000036,lzma,262144,262216,1.000274658203125,81.7081,0.4341,True
sample_000036,zstd,262144,262159,1.0000572204589844,0.4076,0.0577,True
sample_000037,gzip,262144,150819,0.5753288269042969,16.7244,1.3038,True
sample_000037,bz2,262144,133618,0.5097122192382812,25.1172,11.8363,True
sample_000037,lzma,262144,143392,0.5469970703125,100.7692,7.5953,True
sample_000037,zstd,262144,149085,0.5687141418457031,4.8995,0.4537,True
sample_000038,gzip,262144,889,0.003391265869140625,0.6611,0.2218,True
sample_000038,bz2,262144,258,0.00098419189453125,53.3484,4.1202,True
sample_000038,lzma,262144,240,0.00091552734375,9.5288,0.56,True
sample_000038,zstd,262144,98,0.00037384033203125,0.182,0.0085,True
sample_000039,gzip,262144,2491,0.009502410888671875,8.4249,0.2478,True
sample_000039,bz2,262144,3845,0.014667510986328125,2.9744,1.1377,True
sample_000039,lzma,262144,2124,0.0081024169921875,17.4282,1.0891,True
sample_000039,zstd,262144,1831,0.006984710693359375,0.3465,0.1204,True
sample_000040,gzip,262144,102422,0.39070892333984375,31.2786,1.1178,True
sample_000040,bz2,262144,89014,0.33956146240234375,22.1026,10.9027,True
sample_000040,lzma,262144,77908,0.2971954345703125,108.4133,7.6187,True
sample_000040,zstd,262144,114738,0.43769073486328125,3.4923,0.7698,True
sample_000041,gzip,262144,108441,0.4136695861816406,11.9835,1.0015,True
sample_000041,bz2,262144,103383,0.3943748474121094,52.5457,7.6838,True
sample_000041,lzma,262144,99788,0.3806610107421875,51.533,8.9463,True
sample_000041,zstd,262144,109337,0.4170875549316406,2.1866,0.3736,True
