mode,algorithm,train_count,test_count,accuracy,macro_f1
archive,zstd,806,202,0.99504950495049505,0.24937965260545905
balanced,zstd,806,202,0.99504950495049505,0.24937965260545905
fast_access,zstd,806,202,0.99009900990099009,0.24875621890547264
